Type,Name,Display on form,Managed,AD group,HRApproval,ComplianceApproval,InfoSecApproval,Description
url,financial services,No,No,,No,No,No,"Websites pertaining to personal financial information or advice, such as online banking, loans, mortgages, debt management, credit card companies, and insurance companies. Does not include sites relating to stock markets, brokerages or trading services.Includes sites for foreign currency exchange. Includes sites for foreign currency exchange."
url,gambling,Yes,Yes,UG-gambling,Yes,No,No,"Lottery or gambling websites that facilitate the exchange of real and/or virtual money. Related websites that provide information, tutorials or advice regarding gambling, including betting odds and pools. Corporate websites for hotels and casinos that do not enable gambling are categorized under Travel."
url,games,No,No,,No,No,No,"Sites that provide online play or download of video and/or computer games, game reviews, tips, or cheats, as well as instructional sites for non-electronic games, sale/trade of board games, or related publications/media."
url,government,No,No,,No,No,No,"Official websites for local, state, and national governments, as well as related agencies, services, or laws."
url,grayware,No,Yes,UG-grayware,No,No,Yes,"Web content that does not pose a direct security threat but that display other obtrusive behavior and tempt the end user to grant remote access or perform other unauthorized actions. Grayware includes illegal activities, criminal activities, rogueware, adware, and other unwanted or unsolicited applications, such as embedded crypto miners, clickjacking or hijackers that change the elements of the browser. Typosquatting domains that do not exhibit maliciousness and are not owned by the targeted domain will be categorized as grayware."
url,hacking,No,Yes,UG-hacking,No,No,Yes,"Sites relating to the illegal or questionable access to or the use of communications equipment/software. Development and distribution of programs, how-to-advice and/or tips that may result in the compromise of networks and systems. Also includes sites that facilitate the bypass of licensing and digital rights systems."
url,health and medicine,No,No,,No,No,No,"Sites containing information regarding general health information, issues, and traditional and non-traditional tips, remedies, and treatments. Also includes sites for various medical specialties, practices and facilities (such as gyms and fitness clubs) as well as professionals. Sites relating to medical insurance and cosmetic surgery are also included."
url,home and garden,No,No,,No,No,No,"Information, products, and services regarding home repair and maintenance, architecture, design, construction, decor, and gardening."
url,hunting and fishing,No,No,,No,No,No,"Hunting and fishing tips, instructions, sale of related equipment and paraphernalia."
url,insufficient content,No,No,,No,No,No,"Websites and services that present test pages, no content, provide API access not intended for end-user display or require authentication without displaying any other content suggesting a different categorization. Should not include websites providing remote access, such as web based VPN solutions, web based email services or identified credential phishing pages."
url,internet communications and telephony,No,No,,No,No,No,"Sites that support or provide services for video chatting, instant messaging, or telephony capabilities."
url,internet portals,No,No,,No,No,No,"Sites that serve as a starting point for users, usually by aggregating a broad set of content and topics."
url,job search,No,No,,No,No,No,"Sites that provide job listings and employer reviews, interview advice and tips, or related services for both employers and prospective candidates."
url,legal,No,No,,No,No,No,"Information, analysis or advice regarding the law, legal services, legal firms, or other legal related issues."
url,malware,No,No,,No,No,No,Sites known to host malware or used for command and control (C2) traffic. May also exhibit Exploit Kits.
url,marijuana,No,No,,No,No,No,"Sites that discuss, encourage, promote, offer, sell, supply or otherwise advocate the use, cultivation, manufacture or distribution of marijuana and its myriad aliases, whether for recreational or medicinal purposes. Includes sites with content regarding marijuana-related paraphernalia."
url,military,No,No,,No,No,No,"Information or commentary regarding military branches, recruitment, current or past operations, or any related paraphernalia."
url,motor vehicles,No,No,,No,No,No,"Information relating to reviews, sales and trading, modifications, parts, and other related discussions for automobiles, motorcycles, boats, trucks and RVs."
url,music,No,No,,No,No,No,"Music sales, distribution, or information. Includes websites for music artists, groups, labels, events, lyrics, and other information regarding the music business. Does not include streaming music."
url,newly registered domain,No,Yes,UG-newly-registered-domain,No,No,Yes,Newly registered domains are often generated purposely or by domain generation algorithms and used for malicious activity.
url,news,No,No,,No,No,No,"Online publications, newswire services, and other websites that aggregate current events, weather, or other contemporary issues. Includes newspapers, radio stations, magazines, and podcasts."
