Type,Name,Display on form,Managed,AD group,HRApproval,ComplianceApproval,InfoSecApproval,Description
url,AI writing assistant,No,No,,No,No,No,"Sites that leverage artificial intelligence and machine learning to enhance productivity by providing text based content generation capabilities across industries such as marketing, eCommerce, SEO, and education. These platforms improve efficiency and streamline tasks like SEO-optimized writing, customer service and prompt generation, while also supporting a broad range of content creation needs from creative writing and academic assistance to marketing and customer review management. Language translation services are not part of this category; such sites are covered under the ‘Translation’ category."
url,auctions,No,No,,No,No,No,Sites that promote the sale of goods between individuals.
url,business and economy,No,No,,No,No,No,"Marketing, management, economics, and sites relating to entrepreneurship or running a business. Includes advertising and marketing firms. Should not include corporate websites as they should be categorized with their technology. Also shipping sites, such as fedex.com and ups.com."
url,command and control,No,No,,No,No,No,Command-and-control URLs and domains used by malware and/or compromised systems to surreptitiously communicate with an attacker's remote server to receive malicious commands or exfiltrate data
url,compromised website,No,No,,No,No,No,"Benign or legitimate sites that have been hacked or infected with content such as malicious scripts, viruses, trojans, or executables."
url,computer and internet info,No,No,,No,No,No,"General information regarding computers and the internet. Should include sites about computer science, engineering, hardware, software, security, programming, etc. Programming may have some overlap with reference, but the main category should remain computer and internet info."
url,content delivery networks,No,No,,No,No,No,"Sites whose primary focus is delivering content to 3rd parties such as advertisements, media, files, etc. Also includes image servers."
url,copyright infringement,No,No,,No,No,No,"Domains with illegal content, such as content that do not manages illegal download of software or other intellectual property, which poses a potential liability risk. This category was introduced to enable adherence to child protection laws required in the education industry as well as laws in countries that require internet providers to prevent users from sharing copyrighted material through their service."
url,cryptocurrency,No,No,,No,No,No,"Websites that promote cryptocurrencies, crypto mining websites (but not embedded crypto miners), cryptocurrency exchanges and vendors, and websites that manage cryptocurrency wallets and ledgers. This category does not include traditional financial services websites that reference cryptocurrencies, websites that explain and describe how cryptocurrencies and blockchains work, or websites that contain embedded crypto currency miners (grayware)."
url,dating,Yes,Yes,UG-dating,Yes,No,No,"Websites offering online dating services, advice, and other personal ads"
url,dynamic dns,Yes,Yes,UG-dynamic-dns,No,No,Yes,"Hosts and domain names for systems with dynamically assigned IP addresses and which are oftentimes used to deliver malware payloads or C2 traffic. Also, dynamic DNS domains do not go through the same vetting process as domains that are registered by a reputable domain registration company, and are therefore less trustworthy."
url,educational institutions,No,No,,No,No,No,"Official websites for schools, colleges, universities, school districts, online classes, and other academic institutions. These refer to larger, established educational institutions such as elementary schools, high schools, universities, etc. Tutoring academies can go here as well."
url,entertainment and arts,No,No,,No,No,No,"Sites for movies, television, radio, videos, programming guides/tools, comics, performing arts, museums, art galleries, or libraries. Includes sites for entertainment, celebrity and industry news."
url,encrypted dns,No,No,,No,No,No,URLs known to host DNS over HTTPS (DoH) resolver services. DoH encrypts DNS requests and responses to ensure privacy and security of end users DNS traffic
url,extremism,Yes,Yes,UG-extremism,Yes,No,No,"Websites promoting terrorism, racism, fascism, or other extremist views discriminating against people or groups of different ethnic backgrounds, religions or other beliefs. This category was introduced to enable adherence to child protection laws required in the education industry. In some regions, laws and regulations may prohibit do not manageing access to extremist sites, and do not manageing access may pose a liability risk."
